genus,gonality,torsion,ranks,scrollar invariants,ak,bk,n,ell,
10,3,"[0, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 4, 5, 7, 8]","{0: 0, 1: 5, 2: 12}",2,2,6,3,1
10,3,"[0, 0, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 5, 6, 8]","{0: 0, 1: 5, 2: 12}",2,3,6,4,1
10,3,"[0, 3, 0, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 5, 6, 8]","{0: 0, 1: 5, 2: 12}",2,4,6,4,1
10,3,"[0, 3, 3, 0, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 6, 8]","{0: 0, 1: 5, 2: 12}",2,5,6,5,1
10,3,"[0, 3, 3, 3, 0, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 6, 8]","{0: 0, 1: 5, 2: 12}",2,6,6,5,1
10,3,"[0, 3, 3, 3, 3, 0, 2, 2, 0]","[0, 1, 2, 3, 4, 5]","{0: 0, 1: 6, 2: 12}",2,7,5,5,2
10,3,"[0, 3, 3, 3, 3, 3, 0, 2, 0]","[0, 1, 2, 3, 4, 5]","{0: 0, 1: 6, 2: 12}",2,8,5,5,2
10,3,"[0, 3, 3, 3, 3, 3, 3, 0, 0]","[0, 1, 2, 3, 4, 5]","{0: 0, 1: 6, 2: 12}",2,9,5,5,3
10,3,"[2, 0, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 4, 5, 7, 8]","{0: 0, 1: 5, 2: 12}",3,3,6,3,1
10,3,"[2, 0, 0, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 5, 6, 8]","{0: 0, 1: 5, 2: 12}",3,4,6,4,1
10,3,"[2, 0, 3, 0, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 6, 8]","{0: 0, 1: 5, 2: 12}",3,5,6,5,0
10,3,"[2, 0, 3, 3, 0, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 6, 8]","{0: 0, 1: 5, 2: 12}",3,6,6,5,1
10,3,"[2, 0, 3, 3, 3, 0, 2, 2, 0]","[0, 1, 2, 3, 4, 5]","{0: 0, 1: 6, 2: 12}",3,7,5,5,1
10,3,"[2, 0, 3, 3, 3, 3, 0, 2, 0]","[0, 1, 2, 3, 4, 5]","{0: 0, 1: 6, 2: 12}",3,8,5,5,2
10,3,"[2, 0, 3, 3, 3, 3, 3, 0, 0]","[0, 1, 2, 3, 4, 5]","{0: 0, 1: 6, 2: 12}",3,9,5,5,2
10,3,"[2, 2, 0, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 4, 5, 7, 8]","{0: 0, 1: 5, 2: 12}",4,4,6,3,1
10,3,"[2, 2, 0, 0, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 5, 6, 8]","{0: 0, 1: 5, 2: 12}",4,5,6,4,1
10,3,"[2, 2, 0, 3, 0, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 6, 8]","{0: 0, 1: 5, 2: 12}",4,6,6,5,0
10,3,"[2, 2, 0, 3, 3, 0, 2, 2, 0]","[0, 1, 2, 3, 4, 5]","{0: 0, 1: 6, 2: 12}",4,7,5,5,1
10,3,"[2, 2, 0, 3, 3, 3, 0, 2, 0]","[0, 1, 2, 3, 4, 5]","{0: 0, 1: 6, 2: 12}",4,8,5,5,1
10,3,"[2, 2, 0, 3, 3, 3, 3, 0, 0]","[0, 1, 2, 3, 4, 5]","{0: 0, 1: 6, 2: 12}",4,9,5,5,2
10,3,"[2, 2, 2, 0, 2, 2, 2, 2, 0]","[0, 1, 2, 4, 5, 7, 8]","{0: 0, 1: 5, 2: 12}",5,5,6,3,1
10,3,"[2, 2, 2, 0, 0, 2, 2, 2, 0]","[0, 1, 2, 3, 5, 6, 8]","{0: 0, 1: 5, 2: 12}",5,6,6,4,1
10,3,"[2, 2, 2, 0, 3, 0, 2, 2, 0]","[0, 1, 2, 3, 4, 6, 8]","{0: 0, 1: 5, 2: 12}",5,7,6,5,0
10,3,"[2, 2, 2, 0, 3, 3, 0, 2, 0]","[0, 1, 2, 3, 4, 6, 8]","{0: 0, 1: 5, 2: 12}",5,8,6,5,1
10,3,"[2, 2, 2, 0, 3, 3, 3, 0, 0]","[0, 1, 2, 3, 4, 6, 8]","{0: 0, 1: 5, 2: 12}",5,9,6,5,1
10,3,"[2, 2, 2, 2, 0, 2, 2, 2, 0]","[0, 1, 2, 4, 5, 7, 8]","{0: 0, 1: 5, 2: 12}",6,6,6,3,1
10,3,"[2, 2, 2, 2, 0, 0, 2, 2, 0]","[0, 1, 2, 3, 5, 6, 8]","{0: 0, 1: 5, 2: 12}",6,7,6,4,1
10,3,"[2, 2, 2, 2, 0, 3, 0, 2, 0]","[0, 1, 2, 3, 4, 6, 8]","{0: 0, 1: 5, 2: 12}",6,8,6,5,0
10,3,"[2, 2, 2, 2, 0, 3, 3, 0, 0]","[0, 1, 2, 3, 4, 6, 8]","{0: 0, 1: 5, 2: 12}",6,9,6,5,1
10,3,"[2, 2, 2, 2, 2, 0, 2, 2, 0]","[0, 1, 2, 4, 5, 7, 8]","{0: 0, 1: 5, 2: 12}",7,7,6,3,1
10,3,"[2, 2, 2, 2, 2, 0, 0, 2, 0]","[0, 1, 2, 3, 5, 6, 8]","{0: 0, 1: 5, 2: 12}",7,8,6,4,1
10,3,"[2, 2, 2, 2, 2, 0, 3, 0, 0]","[0, 1, 2, 3, 5, 6, 8]","{0: 0, 1: 5, 2: 12}",7,9,6,4,1
10,3,"[2, 2, 2, 2, 2, 2, 0, 2, 0]","[0, 1, 2, 4, 5, 7, 8]","{0: 0, 1: 5, 2: 12}",8,8,6,3,1
10,3,"[2, 2, 2, 2, 2, 2, 0, 0, 0]","[0, 1, 2, 3, 5, 6, 8]","{0: 0, 1: 5, 2: 12}",8,9,6,4,1
10,3,"[2, 2, 2, 2, 2, 2, 2, 0, 0]","[0, 1, 2, 4, 5, 7, 8]","{0: 0, 1: 5, 2: 12}",9,9,6,3,1
