genus,gonality,torsion,ranks,scrollar invariants,ak,bk,n,ell
14,3,"[0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 4, 5, 7, 8, 10, 11, 13]","{0: 0, 1: 6, 2: 16}",2,2,9,3
14,3,"[0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 5, 6, 8, 9, 11, 13]","{0: 0, 1: 6, 2: 16}",2,3,9,4
14,3,"[0, 3, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 5, 6, 8, 9, 11, 13]","{0: 0, 1: 6, 2: 16}",2,4,9,4
14,3,"[0, 3, 3, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 6, 7, 9, 10]","{0: 0, 1: 7, 2: 16}",2,5,8,5
14,3,"[0, 3, 3, 3, 0, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 6, 7, 9, 10]","{0: 0, 1: 7, 2: 16}",2,6,8,5
14,3,"[0, 3, 3, 3, 3, 0, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 7, 8, 10]","{0: 0, 1: 7, 2: 16}",2,7,8,6
14,3,"[0, 3, 3, 3, 3, 3, 0, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 7, 8, 10]","{0: 0, 1: 7, 2: 16}",2,8,8,6
14,3,"[0, 3, 3, 3, 3, 3, 3, 0, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 8, 10]","{0: 0, 1: 7, 2: 16}",2,9,8,7
14,3,"[0, 3, 3, 3, 3, 3, 3, 3, 0, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 8, 10]","{0: 0, 1: 7, 2: 16}",2,10,8,7
14,3,"[0, 3, 3, 3, 3, 3, 3, 3, 3, 0, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 7]","{0: 0, 1: 8, 2: 16}",2,11,7,7
14,3,"[0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 7]","{0: 0, 1: 8, 2: 16}",2,12,7,7
14,3,"[0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0]","[0, 1, 2, 3, 4, 5, 6, 7]","{0: 0, 1: 8, 2: 16}",2,13,7,7
14,3,"[2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 4, 5, 7, 8, 10, 11, 13]","{0: 0, 1: 6, 2: 16}",3,3,9,3
14,3,"[2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 5, 6, 8, 9, 11, 13]","{0: 0, 1: 6, 2: 16}",3,4,9,4
14,3,"[2, 0, 3, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 6, 7, 9, 10]","{0: 0, 1: 7, 2: 16}",3,5,8,5
14,3,"[2, 0, 3, 3, 0, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 6, 7, 9, 10]","{0: 0, 1: 7, 2: 16}",3,6,8,5
14,3,"[2, 0, 3, 3, 3, 0, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 7, 8, 10]","{0: 0, 1: 7, 2: 16}",3,7,8,6
14,3,"[2, 0, 3, 3, 3, 3, 0, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 7, 8, 10]","{0: 0, 1: 7, 2: 16}",3,8,8,6
